id,line_item_quantity,unit_price,pack_price,line_item_value,line_item_insurance,sub_classification,dosage,weight
3,1000,0.03,6.2,6200.0,240.11762578459698,Pediatric,10mg/ml,358
15,31920,0.07,3.99,127360.8,240.11762578459698,Adult,150mg,1855
16,38000,0.05,3.2,121600.0,240.11762578459698,Adult,30mg,7590
23,416,0.02,5.35,2225.6,240.11762578459698,Pediatric,10mg/ml,504
44,135,0.36,32.4,4374.0,240.11762578459698,Pediatric,200mg,328
45,16667,0.06,3.65,60834.55,240.11762578459698,Adult,200mg,1478
46,273,0.03,1.95,532.35,240.11762578459698,Adult,30mg,See ASN-93 (ID#:1281)
47,2800,0.34,41.1,115080.0,240.11762578459698,Adult,200/50mg,643
60,2800,0.34,41.1,115080.0,240.11762578459698,Adult,200/50mg,643
64,10000,0.17,9.98,99800.0,240.11762578459698,Adult,150/300mg,7416
68,579,0.42,25.5,14764.5,240.11762578459698,Pediatric,200mg,Weight Captured Separately
81483,525,0.11,6.6,3465.0,4.86,Adult,300mg,34
87,712,0.06,12.59,8964.08,240.11762578459698,Pediatric,2g,162
108,5513,0.42,25.5,140581.5,224.93,Pediatric,200mg,2126
115,1000,0.01,1.92,1920.0,3.07,Pediatric,10mg/ml,941
116,500,0.68,82.19,41095.0,65.75,Adult,200/50mg,117
161,64000,0.03,1.55,99200.0,158.72,Adult,30mg,4228
269,1000,0.57,17.0,17000.0,27.2,Adult,300mg,76
270,400,0.14,8.38,3352.0,5.36,Adult,300mg,23
420,8400,0.38,11.48,96432.0,154.29,Adult,600mg,654
422,6,0.25,67.51,405.06,0.65,Adult,200mg,Weight Captured Separately
423,600,0.01,1.45,870.0,1.39,Pediatric,1mg/ml,Weight Captured Separately
438,400,0.12,7.0,2800.0,4.48,Pediatric,25mg,81
530,1344,0.46,13.66,18359.04,29.37,Adult,300mg,1537
531,20,0.09,5.17,103.4,0.2,Adult,20mg,Weight Captured Separately
532,100,0.64,19.06,1906.0,3.05,Adult,250mg,Weight Captured Separately
533,670,0.01,1.53,1025.1,1.64,Pediatric,1mg/ml,Weight Captured Separately
535,2597,0.79,23.67,61470.99,98.35,Adult,400mg,117
598,30,0.58,34.98,1049.4,1.68,Adult,300mg,Weight Captured Separately
610,38640,0.04,2.4,92736.0,148.38,Adult,150mg,2719
630,34,0.08,45.52,1547.68,2.48,ACT,20/120mg,115
637,42000,0.02,1.45,60900.0,97.44,Adult,30mg,2600
