Product_ID,Plant_Code,Ship_ahead_day_count,Destination_Port,Carrier,Unit_quantity,Weight
1700106,PLANT16,3,PORT09,V44_3,808,14.3
1700106,PLANT16,3,PORT09,V44_3,3188,87.94
1700106,PLANT16,3,PORT09,V44_3,2331,61.2
1700106,PLANT16,3,PORT09,V44_3,847,16.16
1700106,PLANT16,3,PORT09,V44_3,2163,52.34
1700106,PLANT16,3,PORT09,V44_3,3332,92.8
1700106,PLANT16,3,PORT09,V44_3,1782,46.9
1700106,PLANT16,3,PORT09,V44_3,427,2.86
1700106,PLANT16,3,PORT09,V44_3,1291,26.6
1700106,PLANT16,3,PORT09,V44_3,2294,62.2
1700106,PLANT16,3,PORT09,V44_3,2766,75.5
1700106,PLANT16,3,PORT09,V44_3,798,14.3
1697884,PLANT16,3,PORT09,V44_3,739,73.9
1697884,PLANT16,3,PORT09,V44_3,280,7.8
1697884,PLANT16,3,PORT09,V44_3,574,59.5
1697884,PLANT16,3,PORT09,V44_3,556,52.7
1697884,PLANT16,3,PORT09,V44_3,544,58.5
1697884,PLANT16,3,PORT09,V44_3,1151,181.7
1697884,PLANT16,3,PORT09,V44_3,1404,227.2
1697884,PLANT16,3,PORT09,V44_3,662,74.1
1699336,PLANT16,3,PORT09,V44_3,836,80.43
1702652,PLANT16,3,PORT09,V44_3,2063,265.1
1699337,PLANT16,3,PORT09,V44_3,2114,267.1
1699337,PLANT16,3,PORT09,V44_3,2108,271.1
1699336,PLANT16,3,PORT09,V44_3,1120,112.6
1702654,PLANT16,3,PORT09,V44_3,706,61.8
1699336,PLANT16,3,PORT09,V44_3,889,107.88
1702652,PLANT16,3,PORT09,V44_3,1793,216.57
1702652,PLANT16,3,PORT09,V44_3,491,27.81
1699337,PLANT16,3,PORT09,V44_3,1044,112.6
1702653,PLANT16,3,PORT09,V44_3,447,32.9
1699336,PLANT16,3,PORT09,V44_3,328,13.36
1702652,PLANT16,3,PORT09,V44_3,973,106.88
1702652,PLANT16,3,PORT09,V44_3,1179,129.14
1702653,PLANT16,3,PORT09,V44_3,814,74.25
